System label,Subset,Prediction,Reference
AE-QM7b-1244,Training,-1885.713623,-1885.227901
AE-QM7b-1433,Training,-1729.851074,-1729.523913
AE-QM7b-2311,Training,-1522.915894,-1523.438964
AE-QM7b-6982,Training,-1303.399292,-1302.172953
AE-QM7b-3625,Training,-1692.796265,-1692.103512
IE-IL174-149,Training,-96.13189697,-96.866
AE-QM7b-778,Training,-1078.453857,-1077.995429
AE-QM7b-3916,Training,-1375.498169,-1375.436294
AE-QM7b-3236,Training,-1570.790405,-1569.833417
AE-QM7b-2757,Training,-1645.860229,-1646.04557
AE-QM7b-5247,Training,-1850.096436,-1849.988281
AE-QM7b-3853,Training,-1356.597412,-1356.721149
IE-ARION583-163,Training,-5.783233643,-6.184
IE-SSI-041GLU-045LYS-1,Training,-107.6887894,-107.969
AE-QM7b-843,Training,-1379.206421,-1378.329096
AE-QM7b-631,Training,-1323.442261,-1324.200003
AE-QM7b-32,Training,-756.0276489,-756.6204834
AE-QM7b-6118,Training,-1261.153687,-1261.096808
AE-QM7b-957,Training,-1061.946777,-1062.332377
AE-QM7b-1133,Training,-844.956665,-844.8080419
AE-QM7b-5177,Training,-1845.251587,-1844.757993
AE-QM7b-4289,Training,-1502.846924,-1502.735305
AE-QM7b-1459,Training,-1731.363892,-1731.990954
AE-QM7b-4307,Training,-1532.873779,-1533.433907
AE-QM7b-5586,Training,-1696.30188,-1695.48618
AE-QM7b-6241,Training,-1375.078247,-1374.85635
AE-QM7b-4136,Training,-1625.159302,-1624.740255
AE-QM7b-3717,Training,-1532.088623,-1531.868594
AE-QM7b-530,Training,-1474.115356,-1474.029572
AE-QM7b-3764,Training,-1674.661499,-1674.969185
IE-IL174-146,Training,-87.02617645,-88.332
AE-QM7b-5621,Training,-1342.359497,-1343.032033
IE-ARION583-133,Training,-12.04521179,-11.656
AE-QM7b-2773,Training,-1474.390381,-1473.848412
AE-QM7b-4827,Training,-1431.00647,-1430.863195
AE-QM7b-5688,Training,-1567.631836,-1568.025568
AE-QM7b-1251,Training,-1882.860229,-1882.763584
IE-RG18-13,Training,-0.148410797,-0.33
AE-QM7b-4946,Training,-1156.727173,-1155.966687
IE-S22TRM-21,Training,-9.230194092,-8.365650109
AE-QM7b-3065,Training,-1364.161499,-1365.667578
AE-QM7b-5039,Training,-1745.765747,-1746.417436
IE-SSI-034ALA-152GLU-1,Training,-4.816169739,-4.16
AE-QM7b-647,Training,-1260.120728,-1259.376772
AE-TAE140-111,Training,-252.7196503,-260.621
AE-QM7b-3262,Training,-1564.394287,-1564.421178
AE-QM7b-2982,Training,-1920.722046,-1920.42553
AE-QM7b-2916,Training,-1131.650635,-1133.612401
AE-QM7b-5606,Training,-1458.92688,-1459.525449
AE-QM7b-5457,Training,-1704.038452,-1704.053535
AE-QM7b-2252,Training,-1761.085571,-1760.423529
AE-QM7b-6627,Training,-1444.717773,-1443.986102
AE-QM7b-329,Training,-1326.380371,-1325.550508
AE-QM7b-4240,Training,-1628.567871,-1629.165814
AE-QM7b-982,Training,-1278.075073,-1276.778735
AE-QM7b-279,Training,-1599.565552,-1598.928591
AE-QM7b-321,Training,-1214.879395,-1215.054371
AE-QM7b-733,Training,-1270.078613,-1268.68362
AE-QM7b-5274,Training,-1369.208862,-1369.374904
AE-QM7b-2530,Training,-1621.827148,-1621.648523
AE-QM7b-1546,Training,-1767.00293,-1766.163198
AE-QM7b-4795,Training,-1409.796753,-1409.838945
AE-QM7b-2190,Training,-1785.922852,-1786.012285
IE-ARION583-414,Training,-7.257766724,-7.302
AE-QM7b-6382,Training,-1298.774658,-1300.149576
AE-QM7b-5557,Training,-1375.920898,-1376.310519
IE-SSI-074SER-111GLU-1,Training,-21.30413055,-20.78
AE-QM7b-4844,Training,-1400.28894,-1400.86542
AE-QM7b-1960,Training,-1657.654907,-1658.013257
AE-QM7b-287,Training,-1431.849121,-1432.400835
AE-QM7b-2196,Training,-1898.047485,-1898.40987
IE-IL16-6,Training,-111.4900208,-114
AE-QM7b-2551,Training,-1646.051636,-1645.98927
AE-QM7b-6226,Training,-1575.302856,-1575.757396
AE-QM7b-4559,Training,-1567.478638,-1567.220193
AE-QM7b-472,Training,-1290.464966,-1290.543559
AE-QM7b-2617,Training,-1655.511719,-1655.55069
AE-QM7b-3978,Training,-1568.952026,-1568.626521
AE-QM7b-5024,Training,-1396.660034,-1396.730916
IE-RG18-0,Training,-0.01914978,-0.08
IE-ARION583-452,Training,-9.594039917,-8.974
AE-QM7b-5590,Training,-1463.178101,-1463.711094
IE-RG18-3,Training,-0.287246704,-0.27
AE-QM7b-3036,Training,-1400.327271,-1401.145876
AE-QM7b-2068,Training,-1752.889526,-1753.081593
AE-QM7b-5460,Training,-1693.352783,-1693.529651
AE-QM7b-2997,Training,-1774.740601,-1774.712243
AE-QM7b-6009,Training,-1484.780273,-1484.962745
AE-QM7b-1992,Training,-1381.817627,-1382.817888
AE-QM7b-5341,Training,-1858.330933,-1858.785622
AE-QM7b-6217,Training,-1508.344116,-1507.20088
IE-CARBHB12-8,Training,-5.27097702,-7.839
AE-QM7b-2083,Training,-1495.109131,-1494.937307
AE-QM7b-133,Training,-1158.676147,-1158.697586
AE-QM7b-3331,Training,-1567.879639,-1566.324163
AE-QM7b-5030,Training,-1601.507813,-1601.581485
AE-QM7b-673,Training,-1415.294189,-1414.801421
AE-QM7b-317,Training,-1585.241577,-1585.654399
AE-QM7b-3968,Training,-1833.396362,-1832.992895
AE-QM7b-3341,Training,-1639.7323,-1640.108149
IE-ARION583-206,Training,-4.978942871,-4.654
AE-QM7b-7123,Training,-1102.955933,-1102.465587
AE-QM7b-4355,Training,-1261.228882,-1261.983789
IE-ARION583-280,Training,2.297973633,2.578
AE-QM7b-1077,Training,-1549.949707,-1549.59219
AE-QM7b-5959,Training,-1487.308105,-1487.750515
AE-QM7b-682,Training,-1287.198608,-1285.645252
AE-QM7b-970,Training,-1305.018799,-1304.361778
AE-QM7b-6016,Training,-1403.047852,-1403.326575
AE-QM7b-4709,Training,-1706.202393,-1706.4798
IE-ARION583-50,Training,-26.82884216,-27.739
AE-QM7b-4075,Training,-1642.585571,-1642.092533
AE-QM7b-5903,Training,-1694.2146,-1693.879847
AE-QM7b-618,Training,-1306.378418,-1306.703512
AE-QM7b-5887,Training,-1695.89978,-1695.038482
AE-QM7b-5748,Training,-1703.310669,-1703.569071
AE-QM7b-4429,Training,-1640.402466,-1640.727915
AE-QM7b-1704,Training,-1654.016479,-1653.977465
IE-IL174-138,Training,-90.99975586,-92.323
AE-QM7b-590,Training,-1627.142456,-1626.825115
AE-QM7b-5045,Training,-1709.515259,-1710.174325
AE-QM7b-3931,Training,-1525.022339,-1524.838753
AE-QM7b-5006,Training,-1555.261108,-1554.9361
IE-ARION583-477,Training,-12.7154541,-12.373
IE-ARION583-449,Training,-9.057846069,-8.689
AE-QM7b-176,Training,-1247.436768,-1247.829311
AE-QM7b-6044,Training,-1400.041382,-1400.081487
AE-QM7b-6318,Training,-1553.127319,-1553.311564
IE-HAL59-22,Training,-5.208740234,-5.91
AE-QM7b-3547,Training,-1684.829956,-1684.98333
AE-QM7b-2224,Training,-1470.560425,-1471.521499
AE-QM7b-385,Training,-1608.318237,-1607.63404
AE-QM7b-7206,Training,-1199.856445,-1200.192891
AE-QM7b-2937,Training,-1637.719971,-1637.989831
AE-QM7b-3850,Training,-1709.188477,-1708.981178
AE-QM7b-2275,Training,-2051.133545,-2050.075349
AE-QM7b-6498,Training,-1574.927856,-1573.725529
AE-QM7b-6104,Training,-1266.400757,-1267.304701
IE-PNICO23-14,Training,-3.662395477,-4.34
AE-QM7b-4193,Training,-1774.012939,-1773.672451
IE-SSI-239ASP-244THR-1,Training,-4.351787567,-3.746
AE-QM7b-3086,Training,-1561.426147,-1560.923746
AE-QM7b-1291,Training,-1762.827026,-1763.074804
IE-ARION583-574,Training,-17.45023727,-16.496
AE-QM7b-4558,Training,-1412.420288,-1412.872646
AE-QM7b-4268,Training,-1415.540405,-1415.516147
AE-QM7b-2746,Training,-1769.474365,-1769.68061
AE-QM7b-1080,Training,-1410.843018,-1410.758011
AE-QM7b-267,Training,-1292.005127,-1291.514482
AE-QM7b-5014,Training,-1553.805664,-1553.468032
IE-ARION583-300,Training,-5.112991333,-5.204
AE-QM7b-5257,Training,-1604.084961,-1604.022541
AE-QM7b-2504,Training,-1776.081055,-1776.729389
AE-QM7b-3219,Training,-1570.062622,-1570.105747
AE-QM7b-6703,Training,-1143.513916,-1143.532282
AE-QM7b-1795,Training,-1618.418579,-1618.053031
IE-S66-9,Training,-5.055541992,-5.42
AE-QM7b-3741,Training,-1688.966309,-1689.449275
IE-ARION583-84,Training,-6.549224854,-7.147
AE-QM7b-3348,Training,-1709.954468,-1709.672535
AE-QM7b-745,Training,-1410.449219,-1409.433898
IE-ARION583-68,Training,-26.33094788,-24.888
IE-ARION583-497,Training,-7.774810791,-8.491
AE-QM7b-285,Training,-1434.932251,-1435.354133
AE-QM7b-3610,Training,-1535.784546,-1536.277524
IE-SSI-031TRP-168GLN-2,Training,-3.226737976,-3.351
AE-QM7b-6981,Training,-1351.733276,-1350.65455
AE-QM7b-6509,Training,-1594.269165,-1593.8292
AE-QM7b-1190,Training,-2030.067261,-2028.628884
AE-QM7b-210,Training,-1111.998535,-1112.065272
AE-QM7b-3072,Training,-1671.846436,-1672.206452
IE-ARION583-361,Training,-4.1746521,-4.51
AE-QM7b-228,Training,-1735.770752,-1735.360111
AE-QM7b-2740,Training,-1779.164185,-1778.812824
IE-SSI-076ASP-089TYR-1,Training,-25.50750732,-26.05
AE-QM7b-6998,Training,-1420.83667,-1420.348912
AE-QM7b-1811,Training,-1594.135132,-1594.534031
AE-QM7b-1884,Training,-1506.025757,-1506.486989
AE-QM7b-1305,Training,-1907.103882,-1907.322659
AE-QM7b-4932,Training,-1251.157471,-1251.43082
AE-QM7b-307,Training,-1595.314331,-1594.511346
AE-QM7b-6388,Training,-1394.649292,-1395.296576
AE-QM7b-1183,Training,-1897.299194,-1896.4369
AE-QM7b-156,Training,-1261.550171,-1261.469921
AE-QM7b-3630,Training,-1836.690186,-1836.313967
AE-QM7b-1348,Training,-1580.595093,-1580.357715
AE-QM7b-1204,Training,-2029.397095,-2028.769759
AE-QM7b-7031,Training,-1573.876099,-1572.853036
AE-QM7b-6839,Training,-1226.061646,-1225.391843
AE-QM7b-5367,Training,-1323.994873,-1323.38556
AE-QM7b-3054,Training,-1326.244995,-1324.949423
AE-QM7b-4405,Training,-1649.498657,-1649.530791
AE-QM7b-1336,Training,-1731.095825,-1731.262711
IE-ARION583-579,Training,-13.71124268,-13.81
AE-QM7b-2079,Training,-1595.092651,-1595.666247
AE-QM7b-529,Training,-1175.564941,-1175.539001
AE-QM7b-3748,Training,-1686.610962,-1686.525418
IE-ARION583-543,Training,-15.97091675,-16.304
AE-QM7b-3107,Training,-1488.216553,-1488.418109
AE-QM7b-1593,Training,-1504.493774,-1505.190982
AE-QM7b-4317,Training,-1227.621094,-1227.840228
AE-QM7b-1919,Training,-1504.742798,-1503.519464
AE-QM7b-659,Training,-1355.498901,-1354.198894
AE-QM7b-5062,Training,-1739.312256,-1738.770069
AE-QM7b-2903,Training,-1775.486206,-1775.538833
AE-QM7b-3188,Training,-1558.668579,-1558.289966
AE-QM7b-129,Training,-1312.662109,-1312.033724
IE-CARBHB12-10,Training,-3.446960449,-3.241
AE-QM7b-5234,Training,-1578.22168,-1578.276495
AE-QM7b-4863,Training,-1447.168945,-1447.090517
AE-QM7b-1552,Training,-1479.867188,-1480.098009
IE-S22TRM-23,Training,-21.96479797,-22.83531266
AE-QM7b-6936,Training,-1421.564331,-1421.081747
AE-QM7b-3295,Training,-1386.758301,-1385.973331
AE-QM7b-585,Training,-1329.876587,-1328.725228
AE-QM7b-3452,Training,-1561.253784,-1561.515419
